,1. open,2. high,3. low,4. close,5. volume
2025-09-16,16.99,17.08,16.88,17.06,17749689.0
2025-09-17,17.2,17.78,17.195,17.68,32050779.0
2025-09-18,17.53,17.595,17.44,17.57,13245843.0
2025-09-19,17.55,17.605,16.24,16.97,54720207.0
2025-09-22,16.87,17.175,16.79,17.15,14994445.0
2025-09-23,17.11,17.14,16.88,16.88,11524522.0
2025-09-24,16.9,17.04,16.82,17.03,17049604.0
2025-09-25,16.75,16.86,16.49,16.54,17831301.0
2025-09-26,16.47,16.6,16.36,16.52,19463621.0
2025-09-29,16.44,16.4799,16.22,16.32,19370271.0
2025-09-30,16.31,16.4356,16.21,16.27,13331590.0
2025-10-01,16.22,16.4,16.21,16.37,15899286.0
2025-10-02,16.32,16.43,16.03,16.15,13738838.0
2025-10-03,16.24,16.25,16.07,16.23,15110143.0
2025-10-06,16.49,16.715,16.385,16.69,21090493.0
2025-10-07,16.47,16.47,16.26,16.39,15178858.0
2025-10-08,16.68,16.785,16.59,16.74,13231324.0
2025-10-09,16.965,17.1759,16.88,17.06,21105928.0
2025-10-10,17.0,17.07,16.58,16.58,15132747.0
2025-10-13,16.67,16.8599,16.64,16.78,9959807.0
2025-10-14,16.7,16.7,16.405,16.48,19181628.0
2025-10-15,16.55,16.665,16.44,16.44,23613322.0
2025-10-16,16.2,16.29,15.815,16.07,30758856.0
2025-10-17,16.135,16.39,16.135,16.33,12874555.0
2025-10-20,16.37,16.92,16.345,16.91,19872948.0
2025-10-21,16.76,17.41,16.72,17.41,24526950.0
2025-10-22,17.41,17.56,17.365,17.47,23013103.0
2025-10-23,17.5,17.645,17.35,17.53,14138830.0
2025-10-24,17.53,17.585,17.41,17.48,8492498.0
2025-10-27,17.2,17.27,16.8907,17.04,11499739.0
2025-10-28,16.99,17.11,16.89,16.89,15833250.0
2025-10-29,17.1,17.19,16.78,16.88,13848249.0
2025-10-30,16.74,16.79,16.565,16.64,14127379.0
2025-10-31,16.55,16.65,16.4,16.57,13459545.0
2025-11-03,16.64,16.66,16.3325,16.41,12273884.0
2025-11-04,16.36,16.395,16.268,16.3,10752733.0
