,open,high,low,close,volume,daily_return,ma_5,ma_10,high_low_diff,prev_close,target
2025-09-29,444.35,450.98,439.5,443.21,79491510.0,0.006380563124432248,435.128,430.025,11.480000000000018,440.4,444.72
2025-09-30,441.52,445.0,433.12,444.72,74357960.0,0.0034069628392863205,438.90200000000004,432.33500000000004,11.879999999999995,443.21,459.46
2025-10-01,443.8,462.29,440.75,459.46,98122285.0,0.03314445044072656,442.236,435.695,21.54000000000002,444.72,436.0
2025-10-02,470.54,470.75,435.57,436.0,137008950.0,-0.051059939929482434,444.758,437.61,35.18000000000001,459.46,429.83
2025-10-03,443.285,446.77,416.575,429.83,133188180.0,-0.014151376146789074,442.64400000000006,437.986,30.194999999999993,436.0,453.25
2025-10-06,440.75,453.55,436.69,453.25,85324878.0,0.054486657515762094,444.65200000000004,439.89,16.860000000000014,429.83,433.09
2025-10-07,447.82,452.68,432.4501,433.09,102296082.0,-0.04447876447876453,442.326,440.61400000000003,20.229899999999986,453.25,438.69
2025-10-08,437.57,441.33,425.23,438.69,71192128.0,0.012930337805075132,438.1719999999999,440.204,16.099999999999966,433.09,435.54
2025-10-09,431.81,436.35,426.18,435.54,69339928.0,-0.007180469123982736,438.08000000000004,441.41900000000004,10.170000000000016,438.69,413.49
2025-10-10,436.54,443.13,411.45,413.49,112107870.0,-0.0506268081002893,434.812,438.72799999999995,31.680000000000007,435.54,435.9
2025-10-13,423.53,436.89,419.7,435.9,79552785.0,0.05419719944859591,431.342,437.997,17.189999999999998,413.49,429.24
2025-10-14,426.79,434.2,417.86,429.24,72669438.0,-0.015278733654507826,430.572,436.44899999999996,16.339999999999975,435.9,435.15
2025-10-15,434.9,440.51,426.3301,435.15,71558185.0,0.013768521107072829,429.86400000000003,434.01800000000003,14.179899999999975,429.24,428.75
2025-10-16,434.73,439.35,421.3101,428.75,77189889.0,-0.01470757210157414,428.50600000000003,433.293,18.039900000000046,435.15,439.31
2025-10-17,425.5,441.4558,423.6,439.31,89331578.0,0.024629737609329405,433.66999999999996,434.241,17.855799999999988,428.75,447.43
2025-10-20,443.865,449.8,440.61,447.43,63718971.0,0.01848353099178257,435.976,433.659,9.189999999999998,439.31,442.6
2025-10-21,445.755,449.3,442.05,442.6,54412169.0,-0.010794984690342568,438.64799999999997,434.61,7.25,447.43,438.97
2025-10-22,443.45,445.539,429.0,438.97,84023458.0,-0.008201536375960217,439.412,434.63800000000003,16.538999999999987,442.6,448.98
2025-10-23,420.0,449.3999,413.9,448.98,126709833.0,0.022803380641046145,443.45799999999997,435.98199999999997,35.499900000000025,438.97,433.72
2025-10-24,446.83,451.68,430.17,433.72,94727774.0,-0.033988150919862736,442.34000000000003,438.005,21.50999999999999,448.98,452.42
2025-10-27,439.98,460.16,438.69,452.42,105867547.0,0.043115373973992455,443.338,439.65700000000004,21.470000000000027,433.72,460.55
2025-10-28,454.775,467.0,451.6,460.55,80185667.0,0.01797002785022772,446.928,442.788,15.399999999999977,452.42,461.51
2025-10-29,462.5,465.7,452.65,461.51,67983544.0,0.0020844642275539282,451.436,445.424,13.050000000000011,460.55,440.1
2025-10-30,451.05,455.0607,439.61,440.1,72447938.0,-0.04639119412363757,449.66,446.559,15.450699999999983,461.51,456.56
2025-10-31,446.75,458.0,443.6855,456.56,83135787.0,0.03740059077482383,454.22799999999995,448.284,14.31450000000001,440.1,468.37
2025-11-03,455.99,474.07,453.8,468.37,84595244.0,0.025867355878745446,457.418,450.37800000000004,20.269999999999982,456.56,444.26
2025-11-04,454.46,460.22,443.6,444.26,87756644.0,-0.051476396865725804,454.16,450.54400000000004,16.620000000000005,468.37,462.07
2025-11-05,452.05,466.3299,440.71,462.07,84911911.0,0.04008913699185168,454.27200000000005,452.854,25.61990000000003,444.26,445.91
2025-11-06,461.96,467.45,435.09,445.91,109622907.0,-0.03497305603047152,455.434,452.547,32.360000000000014,462.07,429.52
2025-11-07,437.92,439.36,421.88,429.52,103471495.0,-0.03675629611356557,450.026,452.12700000000007,17.480000000000018,445.91,445.23
2025-11-10,439.6,449.6715,433.36,445.23,76515907.0,0.03657571242317004,445.39799999999997,451.408,16.311499999999967,429.52,439.62
2025-11-11,439.4,442.49,432.36,439.62,60533237.0,-0.012600229095074522,444.46999999999997,449.31499999999994,10.129999999999995,445.23,430.6
2025-11-12,442.15,442.329,426.56,430.6,58513520.0,-0.020517719848960447,438.17600000000004,446.224,15.769000000000005,439.62,401.99
2025-11-13,423.13,424.5,396.34,401.99,118948032.0,-0.06644217371110084,429.392,442.413,28.160000000000025,430.6,404.35
2025-11-14,386.3,412.19,382.78,404.35,105506682.0,0.005870792805791281,424.358,437.192,29.410000000000025,401.99,408.92
2025-11-17,398.74,423.96,398.74,408.92,102214259.0,0.011302089773710833,417.096,431.247,25.21999999999997,404.35,401.25
